prefix,input_text,target_text
webNLG,['1_Decembrie_1918_University | city | Alba_Iulia'],"['The ""1 Decembrie 1918 University"" is in the city Alba Iulia.', 'The city of Alba Iulia has a University called ""1 Decembrie 1918 University"".', 'The 1 Decembrie 1918 University is located in the city of Alba Iulia.']"
webNLG,['1_Decembrie_1918_University | country | Romania'],"['The 1 Decembrie 1918 University is located in the country of Romania.', 'The 1 Decembrie 1918 University is located in Romania.']"
webNLG,"['1_Decembrie_1918_University | latinName | ""Universitas Apulensis""']","['The Latin name of the 1 Decembrie 1918 University is ""Universitas Apulensis"".', 'The Latin name of 1 Decembrie 1918 University is Universitas Apulensis.', 'The latin name for 1 Decembrie 1918 University is Universitas Apulensis.']"
webNLG,['1_Decembrie_1918_University | nickname | Uab'],['The 1 Decembrie 1918 University has the nickname Uab.']
webNLG,"['1_Decembrie_1918_University | rector | ""Breaz Valer Daniel""']","['Breaz Valer Daniel is rector of the 1 Decembrie 1918 University.', 'The rector of the 1 Decembrie 1918 University is Breaz Valer Daniel.']"
webNLG,['AWH_Engineering_College | academicStaffSize | 250'],"['The academic staff at the AWH Engineering College number 250.', 'The AWH Engineering College has academic staff size of 250.', 'AWH Engineering College has an academic staff of 250.']"
webNLG,"['AWH_Engineering_College | city | ""Kuttikkattoor""']","['The AWH Engineering College is located in Kuttikkattoor.', 'AWH Engineering College is in the city of Kuttikkattoor.', 'AWH Engineering College is located in Kuttikkattoor.']"
webNLG,['AWH_Engineering_College | country | India'],['AWH Engineering College is located in India.']
webNLG,['AWH_Engineering_College | established | 2001'],['The AWH Engineering College was established in 2001.']
webNLG,['AWH_Engineering_College | state | Kerala'],"['AWH Engineering College is located in Kerala state.', 'The AWH Engineering College is in the State of Kerala.']"
webNLG,['Aarhus | governmentType | Magistrate'],"['The type of government of Aarhus is magistrate.', 'The city of Aarhus is governed by Magistrates.']"
webNLG,['Aarhus | has to its northeast | Mols'],"['Mols is to the northeast of Aarhus.', 'Aarhus has to its northeast Mols.', 'Mols is the area to the northeast of Aarhus.']"
webNLG,['Accademia_di_Architettura_di_Mendrisio | city | Mendrisio'],"['Accademia di Architettura di Mendrisio is located in the city of Mendrisio.', 'The Accademia di Architettura di Mendrisio is located in the city of Mendrisio.']"
webNLG,['Accademia_di_Architettura_di_Mendrisio | country | Switzerland'],"['The Accademia di Architettura di Mendrisio is located in Switzerland.', 'Accademia di Architettura di Mendrisio is located in Switzerland.', 'Accademia di Architettura di Mendrisio is in Switzerland.']"
webNLG,['Accademia_di_Architettura_di_Mendrisio | dean | Mario_Botta'],"['The dean of the Accademia di Architettura di Mendrisio is Mario Botta.', ""Accademia di Architettura di Mendrisio's dean is Mario Botta.""]"
webNLG,['Accademia_di_Architettura_di_Mendrisio | established | 1996'],['The Accademia di Architettura di Mendrisio was established in 1996.']
webNLG,['Accademia_di_Architettura_di_Mendrisio | location | Ticino'],"['The Accademia di Architettura di Mendrisio is located in Ticino.', 'Ticino is the location of the Accademia di Architettura di Mendrisio.']"
webNLG,['Accademia_di_Architettura_di_Mendrisio | numberOfStudents | 600'],"['There are 600 students at the Accademia di Architettura di Mendrisio.', 'Six hundred students attend the Accademia di Architettura di Mendriso.', 'The Accademia di Architettura di Mendrisio has 600 students.', 'Accademia di Architettura di Mendrisio has 600 students enrolled.', 'There are 600 students attending the Accademia di Architettura di Mendrisio.']"
webNLG,"['Acharya_Institute_of_Technology | academicStaffSize | ""~500""']","[""Acharya Institute of Technology's academic staff total is ~500."", 'The Acharya Institute of Technology employs about 500 academic staff.', 'Approximately 500 employees make up the academic staff at Acharya Institute of Technology.']"
webNLG,['Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University'],"['The Acharya Institute of Technology is affiliated with Visvesvaraya Technologial University.', 'Acharya Institute of Technology is affiliated to Visvesvaraya Technological University.', 'The Acharya Institute of Technology is affiliated with the Visvesvaraya Technological University.', 'Acharya Institute of Technology is affiliated to the Visvesvaraya Technological University.', 'Acharya Institute of Technology is affilaited with Visvesvaraya Technological University.']"
webNLG,['Acharya_Institute_of_Technology | city | Bangalore'],"['The Acharya Institute of Technology is located in the city of Bangalore.', 'Acharya Institute of Technology is located in Bangalore.', 'Acharya Institute of Technology is in Bangalore.']"
webNLG,"['Acharya_Institute_of_Technology | country | ""India""']","['Acharya Institute of Technology can be found in India.', 'Acharya Institute of Technology is located in India.', 'The Acharya Institute of Technology is located in India.']"
webNLG,"['Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""']","['Dr. G. P. Prabhukumar is the director of the Acharya Institute of Technology.', 'The director of Acharya Institute of Technology is Dr. G. P. Prabhukumar.', ""Acharya Institute of Technology's director is Dr. G. P. Prabhukumar.""]"
webNLG,['Acharya_Institute_of_Technology | established | 2000'],"['The Acharya Institute of Technology was established in the year 2000.', 'The Acharya Institute of Technology was established in 2000.']"
