prefix,input_text,target_text
webNLG,"['Alan_Bean | almaMater | ""UT Austin, B.S. 1955""']","['The Alma Mater of Alan Bean is UT Austin, B.S. 1955.', 'Alan Bean graduated in 1955 from UT Austin with a B.S.', 'Alan Bean graduated from UT Austin in 1955 with a B.S.', 'Alan Bean graduated from UT Austin in 1955 with a Bachelor of Science degree.', 'Alan Bean received a Bachelor of Science degree at the University of Texas at Austin in 1955.']"
webNLG,"['Alan_Bean | birthDate | ""1932-03-15""']","['Alan Bean was born on the 15th of March 1932.', 'Alan Bean was born on Mar 15, 1932.', 'Alan Bean was born on March 15, 1932.']"
webNLG,"['Alan_Bean | birthName | ""Alan LaVern Bean""']","['Alan Bean\'s full name was ""Alan LaVern Bean"".', 'Alan Bean was born Alan LaVern Bean.', ""Alan Bean's birth name was Alan LaVern Bean."", ""Alan Bean's birth name is Alan LaVern Bean.""]"
webNLG,"['Alan_Bean | birthPlace | Wheeler,_Texas']","['Alan Bean was born in Wheeler, Texas.', ""Alan Bean's birthplace is Wheeler,, Texas."", ""Alan Bean's birth place is Wheeler, Texas.""]"
webNLG,"['Alan_Bean | dateOfRetirement | ""June 1981""']","['Alan Bean retired on June 1981.', 'Alan Bean retired in June of 1981.', 'Alan Bean retired in June 1981.', ""Alan Bean's retirement was in June 1981."", 'Alan Bean retired in June, 1981.']"
webNLG,['Alan_Bean | occupation | Test_pilot'],"['Alan Bean was a test pilot.', 'Alan Bean served as a test pilot.', 'Alan Bean performed as a test pilot.', 'Alan Bean performs as a test pilot.']"
webNLG,"['Alan_Bean | status | ""Retired""']","['Alan Bean is retired.', 'Alan Bean has retired.', 'Alan Bean is now retired.']"
webNLG,"['Alan_Bean | timeInSpace | ""100305.0""(minutes)']","['Alan Bean spent 100305.0 minutes in Space.', 'Alan Bean spent 100305 minutes in space.', '100305.0 minutes is the time Alan Bean spent in Space.', 'Alan Bean was in space 100305 minutes.', 'Alan Bean spent over 69 days in space, 100305 minutes to be exact!', ""Alan Bean's time in space was 100305.0 minutes."", 'Alan Bean spend a total of 100305 minutes in space.']"
webNLG,['Alan_Bean | was a crew member of | Apollo_12'],"['Alan Bean was a part of the crew of Apollo 12.', 'Alan Bean served as a crew member of Apollo 12.', 'Alan Bean was a member of the Apollo 12 crew.', 'Alan Bean was a crew member aboard Apollo 12.', 'Alan Bean was on the crew of Apollo 12.', 'Alan Bean was a crew member of Apollo 12.', 'Alan Bean was a crew member on the Apollo 12 flight mission.']"
webNLG,['Alan_Bean | was selected by NASA | 1963'],"['Alan Bean was selected by Nasa in 1963.', 'Alan Bean was chosen by NASA in 1963.', 'Alan Bean was hired by NASA in 1963.']"
webNLG,"['Alan_Shepard | almaMater | ""NWC, M.A. 1957""']","['Alan Shepard graduated from NWC with a M.A. in 1957.', 'Alan Shepard graduated from NWC in 1957 with a M.A.', 'Alan Shepard went to school at NWC and graduated with an MA in 1957.', 'Alan Shepard graduated from NWC, M.A. in 1957.']"
webNLG,"['Alan_Shepard | birthDate | ""1923-11-18""']","['Alan Shepard was born November 18th, 1923.', 'Alan Shepard was born on November 18, 1923.', 'Alan Shepard was born on Nov 18, 1923.', 'Alan Shepard was born on 1923-11-18.', 'Alan Shepard was born on the 18th of November 1923.']"
webNLG,['Alan_Shepard | birthPlace | New_Hampshire'],"[""Alan Shepard's birth place was New Hampshire."", 'Alan Shepard was born in New Hampshire.']"
webNLG,"['Alan_Shepard | dateOfRetirement | ""1974-08-01""']","['Alan Shepard retired on 1974-08-01.', 'Alan Shepard retired August 1st, 1974.', 'Alan Shepard retired 1st of August 1974.', 'Alan Shepard retired on August 1, 1974.', 'Alan Shepard retired on Aug 1, 1974.', 'Alan Shepard retired 1974-08-01.', 'Alan Separd retired on 1st August 1974.']"
