prefix,input_text,target_text
webNLG,['Ajoblanco | country | Spain'],"['Ajoblanco originates from the country of Spain.', 'Ajoblanco is from Spain.']"
webNLG,['Ajoblanco | ingredient | Almond'],"['Ajoblanco has almond as one of its ingredients.', 'Almond is an ingredient in ajoblanco.']"
webNLG,['Ajoblanco | ingredient | Bread'],['Bread is an ingredient of Ajoblanco.']
webNLG,['Ajoblanco | ingredient | Garlic'],"['An ingredient of Ajoblanco is garlic.', 'Garlic is an ingredient used in Ajoblanco.']"
webNLG,['Ajoblanco | ingredient | Olive_oil'],['Olive oil is an ingredient in Ajoblanco.']
webNLG,['Ajoblanco | ingredient | Water'],"['Ajoblanco contains water.', 'Water is an ingredient in Ajoblanco.']"
webNLG,['Ajoblanco | region | Andalusia'],"['Ajoblanco is a food found in Andalusia.', 'Ajoblanco is from the Andalusia region.', 'Ajoblanco is from Andalusia.']"
webNLG,['Almond | division | Flowering_plant'],"['Almond is classed as a flowering plant.', 'Almonds are in the division of flowering plants.']"
webNLG,['Almond | family | Rosaceae'],"['Almond is part of the Rosaceae family.', 'Almonds are from the Rosaceae family.']"
webNLG,['Almond | order | Rosales'],['Almond is one of the members of the Rosales order.']
webNLG,['Almond | order | Rosids'],"['Almond is part of the order of Rosids.', 'Almonds are from the order Rosids.']"
webNLG,['Amatriciana_sauce | country | Italy'],"['Italy is the country Amatriciana sauce comes from.', 'Amatriciana sauce is a traditional Italian sauce.', 'Amatriciana sauce can be found in Italy.']"
webNLG,['Amatriciana_sauce | course | Italian_meal_structure'],['Amatriciana sauce can be found in an Italian meal.']
webNLG,"['Amatriciana_sauce | dishVariation | ""Onion, garlic, black pepper, chili""']","['A variation of Amatriciana sauce includes onion, garlic, black pepper, and chili.', 'A variation of Amatriciana sauce contains onion, garlic, black pepper, chili.']"
webNLG,['Amatriciana_sauce | dishVariation | Garlic'],"['Amatriciana sauce can be varied by adding garlic.', 'One variation of Amatriciana sauce uses garlic as part of its dish.']"
webNLG,['Amatriciana_sauce | dishVariation | Onion'],['Onion is one variation of ingredients in Amatriciana sauce.']
webNLG,['Amatriciana_sauce | ingredient | Guanciale'],"['Guanciale is an ingredient of Amatriciana sauce.', 'Guanciale is an ingredient used in the preparation of Amatriciana sauce.', 'Guanciale is an ingredient in Amatriciana sauce.']"
