prefix,input_text,target_text
webNLG,['11th_Mississippi_Infantry_Monument | category | Contributing_property'],"['The 11th Mississippi Infantry Monument falls under the category of Contributing property.', 'The 11th Mississippi Infantry Monument is categorized as a Contributing Property.', 'The 11th Mississippi Infantry Monument is categorised as a contributing property.']"
webNLG,"['11th_Mississippi_Infantry_Monument | country | ""United States""']","['The 11th Mississippi Infantry Monument is located in the United States.', '11th Mississippi Infantry Monument is in the United States.', 'The 11th Mississippi Infantry Monument is in the United States.', 'The 11th Mississippi Infantry Monument is based in the US.']"
webNLG,"['11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania']","[""11th Mississippi Infantry Monument's location is Adams County, Pennsylvania."", 'The location of the 11th Mississippi Infantry Monument is Adams County, Pennsylvania.', 'The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania.', '11th Mississippi Infantry Monument is found in the Adams County in Pennsylvania.']"
webNLG,['11th_Mississippi_Infantry_Monument | location | Seminary_Ridge'],"['The 11th Mississippi Infantry Monument is located at Seminary Ridge.', ""The 11th Mississippi Infantry Monument's location is in the Seminary Ridge.""]"
webNLG,"['11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania']","['The 11th Mississippi Infantry Monument is in the municipality of Gettysburg , Pennsylvania.', 'The 11th Mississippi Infantry Monument is placed in the municipality of Gettysburg in Pennsylvania.', 'The 11th Mississippi Infantry Monument is in the municipality of Gettysburg, Pennsylvania.', 'The 11th Mississippi Infantry Monument is located in Gettysburg, Pennsylvania.', '11th Mississippi Infantry Monument is in Gettysburg, Pennsylvania.', 'The 11th Mississippi Infantry Monument is in the municipality of Gettysburg Pennsylvania.', 'The municipality for the 11th Mississippi Infantry Monument is Gettysburg, Pennsylvania.']"
webNLG,"['11th_Mississippi_Infantry_Monument | state | ""Pennsylvania""']","['The 11th Mississippi Infantry Monument is in Pennsylvania.', 'The 11th Mississippi Infantry Monument is located in the state of Pennsylvania.', 'The 11th Mississippi Infantry Monument stands in the state of Pennsylvania.', '11th Mississippi Infantry Monument is in Pennsylvania.', 'The 11th Mississippi Infantry Monument is found in Pennsylvania.', 'The 11th Mississippi Infantry Monument is located in Pennsylvania state.']"
webNLG,['14th_New_Jersey_Volunteer_Infantry_Monument | category | Historic_districts_in_the_United_States'],"['The 14th New Jersey Volunteer Infantry Monument belongs to the category of Historic districts in the United States.', 'The 14th New Jersey Volunteer Infantry Monument is categorised as a historic district in the United States.']"
webNLG,"['14th_New_Jersey_Volunteer_Infantry_Monument | country | ""United States""']","['The 14th New Jersey Volunteer Infantry Monument is located in the United States.', 'The 14th New Jersey Volunteer Infantry Monument is found in the United States.', '14th New Jersey Volunteer Infantry Monument located in United States.', '14th New Jersey Volunteer Infantry Memorial is in the United States.']"
webNLG,['14th_New_Jersey_Volunteer_Infantry_Monument | district | Monocacy_National_Battlefield'],"['The 14th New Jersey Volunteer Infantry Monument is located in the district of the Monocacy National Battlefield.', 'The 14th New Jersey Volunteer Infantry Monument is located on the Monocacy National Battlefield.', 'The 14th New Jersey Volunteer Infantry Monument is located in the Monocacy National Battlefield.', 'The 14th New Jersey Volunteer Infantry Monument is found in the Monocacy National Battlefield.']"
webNLG,"['14th_New_Jersey_Volunteer_Infantry_Monument | established | ""1907-07-11""']","['The 14th New Jersey Volunteer Infantry Monument was established in 1907-07-11.', 'The 14th New Jersey Volunteer Infantry Monument was established 1907-07-11.', 'The 14th New Jersey Volunteer Infantry Monument was established on July 11th, 1907.', 'The 14th New Jersey Volunteer Infantry Monument was established on 11th July 1907.']"
